means	Presynaptic Neuron	Postsynaptic Neuron	g	tau_d	tau_r	tau_f	U
30	MEC LV Pyramidal (+)331131p	DG Semilunar Granule (+)2311p	1.508016781	4.979182481	358.86019	40.42639576	0.224881176
31	MEC LII Stellate (+)331111p	DG Semilunar Granule (+)2311p	1.30275795	4.778434126	323.5826185	50.34727213	0.203449802
32	EC LI-II Pyramidal-Fan (+)331000p	DG Semilunar Granule (+)2311p	1.42862996	5.139787943	399.9488375	47.56217915	0.209436508
33	EC LII-III Pyramidal-Tripolar (+)333000p	DG Semilunar Granule (+)2311p	1.380377872	4.892242214	561.3049902	36.47168803	0.198918157
34	EC LIV-V Pyramidal-Horizontal (+)220233p	DG Semilunar Granule (+)2311p	1.456503098	4.914980684	367.580784	51.59428228	0.21768969
35	DG Total Molecular Layer (-)3303	DG Semilunar Granule (+)2311p	1.669114074	6.017668467	570.4444877	27.61661353	0.190319155
36	DG MOLAX (-)3302	DG Semilunar Granule (+)2311p	1.490337106	6.562368292	567.7430088	28.06180987	0.189664976
37	DG Outer Molecular Layer (-)3222	DG Semilunar Granule (+)2311p	1.603063113	6.611680397	567.0923083	23.6502833	0.208913237
38	DG Neurogliaform (-)3000p	DG Semilunar Granule (+)2311p	1.284721028	7.643563276	585.4805097	33.65844156	0.189550457
39	DG MOPP (-)3000	DG Semilunar Granule (+)2311p	1.222431299	7.753227153	576.2187231	36.48398045	0.186122665
40	DG HICAP (-)2322	DG Semilunar Granule (+)2311p	0.913210289	7.526448718	713.2264027	55.73253938	0.111751147
41	DG HIPP (-)1002	DG Semilunar Granule (+)2311p	1.641654852	7.006682709	585.7700423	26.19823738	0.213587712
42	DG HIPROM (-)1333p	DG Semilunar Granule (+)2311p	1.721543535	6.611761079	572.04044	30.92579873	0.211852626
43	DG AIPRIM (-)2333	DG Semilunar Granule (+)2311p	1.893066254	6.206619259	497.8346671	28.47436596	0.203276419
44	DG MOCAP (-)0331	DG Semilunar Granule (+)2311p	1.742165159	6.186255118	569.9199632	29.13095364	0.206874566
45	CA3 Spiny Lucidum (-)01320p	DG Semilunar Granule (+)2311p	1.664485211	7.025073422	576.2564152	22.7505452	0.208225429
46	CA1 LMR Projecting (-)3300p	DG Semilunar Granule (+)2311p	1.607841826	6.731343556	563.0805038	25.32976278	0.195622674
47	CA1 Perforant Path-Associated (-)3200p	DG Semilunar Granule (+)2311p	1.731757834	6.369473433	552.0581676	30.06251519	0.20038191
48	CA1 Neurogliaform Projecting (-)3000p	DG Semilunar Granule (+)2311p	1.365119746	8.061682935	531.9975492	33.15490646	0.204262938
49	DG Granule (+)2201p	DG Hilar Ectopic Granule (+)2203p	1.446503086	5.108475982	387.04804	73.7796555	0.188512197
50	CA2 Pyramidal (+)2333p	DG Hilar Ectopic Granule (+)2203p	1.648943165	4.064570692	291.0953452	75.46407104	0.231555579
51	DG Hilar Ectopic Granule (+)2203p	DG Hilar Ectopic Granule (+)2203p	1.491290846	4.56356615	397.8775349	45.69925542	0.201623245
52	DG Mossy MOLDEN (+)2323	DG Hilar Ectopic Granule (+)2203p	1.71360592	4.622722363	257.5735059	76.55315463	0.24166889
53	CA3c Pyramidal (+)03223p	DG Hilar Ectopic Granule (+)2203p	1.553277673	5.050278268	344.6766216	38.25845356	0.210112819
54	DG Semilunar Granule (+)2311p	DG Hilar Ectopic Granule (+)2203p	1.549183316	5.334519756	407.3879498	74.7293711	0.20158502
55	DG Mossy (+)0103	DG Hilar Ectopic Granule (+)2203p	1.726477704	4.649721773	257.5621636	76.83529728	0.241952055
56	MEC LV Pyramidal (+)331131p	DG Hilar Ectopic Granule (+)2203p	1.409004272	5.18464375	390.6832195	46.71206868	0.227176486
57	MEC LII Stellate (+)331111p	DG Hilar Ectopic Granule (+)2203p	1.230119727	4.962405413	355.3369488	56.72319689	0.207350134
58	EC LI-II Pyramidal-Fan (+)331000p	DG Hilar Ectopic Granule (+)2203p	1.331992412	5.362118103	440.2566136	55.44741767	0.21216823
59	EC LII-III Pyramidal-Tripolar (+)333000p	DG Hilar Ectopic Granule (+)2203p	1.287937147	5.097016221	615.2986549	41.48455092	0.201987968
60	EC LIV-V Pyramidal-Horizontal (+)220233p	DG Hilar Ectopic Granule (+)2203p	1.364929722	5.122222031	401.1620003	60.20008596	0.22123805
61	DG Axo-Axonic (-)2233	DG Hilar Ectopic Granule (+)2203p	2.356442337	4.870180778	588.2463216	20.11384498	0.235176536
62	DG Total Molecular Layer (-)3303	DG Hilar Ectopic Granule (+)2203p	1.430565597	6.524444315	602.5806064	33.49817441	0.18990431
63	DG MOLAX (-)3302	DG Hilar Ectopic Granule (+)2203p	1.33552585	6.890698057	607.6317373	33.20904257	0.192172335
64	DG Outer Molecular Layer (-)3222	DG Hilar Ectopic Granule (+)2203p	1.456766873	6.872037644	606.2435996	27.29962026	0.209351925
65	DG Neurogliaform (-)3000p	DG Hilar Ectopic Granule (+)2203p	1.191552885	7.841638432	622.1107215	38.99297208	0.190567348
66	DG MOPP (-)3000	DG Hilar Ectopic Granule (+)2203p	1.128598018	7.974652857	610.0350535	42.05208978	0.18714428
67	DG HICAP (-)2322	DG Hilar Ectopic Granule (+)2203p	0.822342861	7.860564847	773.0049112	53.92975664	0.11717781
68	DG HIPP (-)1002	DG Hilar Ectopic Granule (+)2203p	1.410565737	7.485818957	648.0375743	26.41913301	0.215202844
69	DG HIPROM (-)1333p	DG Hilar Ectopic Granule (+)2203p	1.470645958	7.171515108	639.0452751	33.55712835	0.209604019
70	DG AIPRIM (-)2333	DG Hilar Ectopic Granule (+)2203p	1.684947425	6.592501644	533.3756961	28.2306784	0.20569746
71	DG MOCAP (-)0331	DG Hilar Ectopic Granule (+)2203p	1.559297351	6.562760847	593.8683632	32.87065312	0.204469965
72	CA3 Spiny Lucidum (-)01320p	DG Hilar Ectopic Granule (+)2203p	1.532121758	7.242438117	608.3983983	26.18959291	0.208786661
73	CA3 Mossy Fiber-Associated ORDEN (-)02332p	DG Hilar Ectopic Granule (+)2203p	1.672686784	6.201521268	636.19883	33.93633285	0.215036801
74	CA3 Mossy Fiber-Associated (-)03330p	DG Hilar Ectopic Granule (+)2203p	2.054756011	5.667351901	588.8823899	70.33877638	0.222211615
75	CA1 LMR Projecting (-)3300p	DG Hilar Ectopic Granule (+)2203p	1.455910732	6.991353247	596.5282712	29.00929359	0.195187269
76	CA1 Perforant Path-Associated (-)3200p	DG Hilar Ectopic Granule (+)2203p	1.558909995	6.642994881	586.2293544	35.05905436	0.200030334
77	CA1 Neurogliaform Projecting (-)3000p	DG Hilar Ectopic Granule (+)2203p	1.262042564	8.255310421	560.5998043	37.69365957	0.20297706
78	CA1 Back-Projection (-)1133p	DG Hilar Ectopic Granule (+)2203p	1.567669799	7.096622584	618.1321984	27.9500529	0.204498595
79	DG Granule (+)2201p	DG Mossy (+)0103	1.713023104	5.346932748	428.5825544	73.47908526	0.151268414
80	DG Semilunar Granule (+)2311p	DG Mossy (+)0103	1.815994999	4.882551657	375.0773532	70.53734123	0.19371363
81	DG Mossy (+)0103	DG Mossy (+)0103	2.067500893	4.257146466	249.3294154	71.64176434	0.24460315
82	DG Hilar Ectopic Granule (+)2203p	DG Mossy (+)0103	1.825968314	4.13958363	379.5972202	44.79453899	0.205232396
83	DG Mossy MOLDEN (+)2323	DG Mossy (+)0103	2.047495415	4.229381055	248.826272	71.12979359	0.244427898
84	CA3c Pyramidal (+)03223p	DG Mossy (+)0103	2.035472923	4.296657374	359.1158552	40.45671675	0.236087994
85	CA2 Pyramidal (+)2333p	DG Mossy (+)0103	1.945138256	3.846402853	260.2853715	75.85700042	0.233379777
86	DG Axo-Axonic (-)2233	DG Mossy (+)0103	2.800891905	4.312123649	564.6371763	20.21329933	0.239970558
87	DG Total Molecular Layer (-)3303	DG Mossy (+)0103	1.780061787	5.714504127	569.7068204	30.91207702	0.201094709
88	DG HIPROM (-)1333p	DG Mossy (+)0103	1.769637915	6.298476805	569.2474685	30.40685884	0.222060206
89	DG AIPRIM (-)2333	DG Mossy (+)0103	1.942982153	5.959648571	506.4517963	28.85781662	0.211760985
90	DG MOCAP (-)0331	DG Mossy (+)0103	1.837442946	5.865102865	562.7241327	32.5751208	0.211532706
91	CA3 Mossy Fiber-Associated ORDEN (-)02332p	DG Mossy (+)0103	1.968680913	5.455123243	553.3835071	32.82293447	0.226128027
92	CA3 Mossy Fiber-Associated (-)03330p	DG Mossy (+)0103	2.37989961	5.107650499	565.3057319	69.34963777	0.225833175
93	CA1 Back-Projection (-)1133p	DG Mossy (+)0103	1.837913056	6.317342732	554.3315508	27.61514718	0.213985188
94	DG Granule (+)2201p	DG Mossy MOLDEN (+)2323	1.624077175	5.447050159	417.714749	79.48053459	0.147321882
95	DG Semilunar Granule (+)2311p	DG Mossy MOLDEN (+)2323	1.708335226	5.033277473	365.84813	77.72366955	0.187362763
96	DG Mossy (+)0103	DG Mossy MOLDEN (+)2323	1.932186268	4.405163995	236.6666238	78.61769586	0.238756247
97	DG Hilar Ectopic Granule (+)2203p	DG Mossy MOLDEN (+)2323	1.693644965	4.286189703	368.3968521	48.35725287	0.197056583
98	DG Mossy MOLDEN (+)2323	DG Mossy MOLDEN (+)2323	1.914059799	4.375475809	236.4358557	78.01187185	0.238471723
99	CA3c Pyramidal (+)03223p	DG Mossy MOLDEN (+)2323	1.816677971	4.549607119	335.1898017	45.104459	0.225705093
100	CA2 Pyramidal (+)2333p	DG Mossy MOLDEN (+)2323	1.838678853	3.934704803	250.6406579	82.17384096	0.228779989
101	MEC LV Pyramidal (+)331131p	DG Mossy MOLDEN (+)2323	1.623428102	4.857969943	346.9694219	48.2910428	0.223023113
102	MEC LII Stellate (+)331111p	DG Mossy MOLDEN (+)2323	1.422172472	4.671076707	319.8347524	57.76574982	0.204088665
103	EC LI-II Pyramidal-Fan (+)331000p	DG Mossy MOLDEN (+)2323	1.555917685	4.992817553	389.6544724	56.34243423	0.207275495
104	EC LII-III Pyramidal-Tripolar (+)333000p	DG Mossy MOLDEN (+)2323	1.516441039	4.756350379	527.4104511	42.59411401	0.197438663
105	EC LIV-V Pyramidal-Horizontal (+)220233p	DG Mossy MOLDEN (+)2323	1.58313294	4.795778907	354.8368483	60.79007575	0.215628297
106	DG Axo-Axonic (-)2233	DG Mossy MOLDEN (+)2323	2.623758897	4.48534284	566.5189575	22.67879508	0.234120918
107	DG Total Molecular Layer (-)3303	DG Mossy MOLDEN (+)2323	1.616154161	5.994605547	566.2048935	34.27696133	0.191799042
108	DG MOLAX (-)3302	DG Mossy MOLDEN (+)2323	1.514591878	6.307039403	561.0367721	34.88484115	0.191553493
109	DG Outer Molecular Layer (-)3222	DG Mossy MOLDEN (+)2323	1.644007701	6.284023975	561.5735725	29.21515157	0.207766778
110	DG Neurogliaform (-)3000p	DG Mossy MOLDEN (+)2323	1.341236704	7.200093335	575.4517877	41.32619976	0.18916955
111	DG MOPP (-)3000	DG Mossy MOLDEN (+)2323	1.273345775	7.308964833	565.2785295	44.85023254	0.185701526
112	DG HICAP (-)2322	DG Mossy MOLDEN (+)2323	0.903194014	7.402421887	710.3420263	58.57249013	0.118470459
113	DG HIPP (-)1002	DG Mossy MOLDEN (+)2323	1.578444647	6.893224065	591.4930422	27.74009221	0.214601136
114	DG HIPROM (-)1333p	DG Mossy MOLDEN (+)2323	1.630431882	6.56507339	565.6633355	34.03268217	0.215007241
115	DG AIPRIM (-)2333	DG Mossy MOLDEN (+)2323	1.819235822	6.160692265	504.0394373	31.88818012	0.205578497
116	DG MOCAP (-)0331	DG Mossy MOLDEN (+)2323	1.710148635	6.100934119	559.7969285	35.95296376	0.204636352
117	CA3 Spiny Lucidum (-)01320p	DG Mossy MOLDEN (+)2323	1.72289853	6.670968364	571.5144526	27.37213448	0.20840673
118	CA3 Mossy Fiber-Associated ORDEN (-)02332p	DG Mossy MOLDEN (+)2323	1.86465008	5.605018442	546.4653215	36.94283878	0.221447652
119	CA3 Mossy Fiber-Associated (-)03330p	DG Mossy MOLDEN (+)2323	2.254662666	5.272213006	564.8859948	76.38077676	0.221076901
120	CA1 LMR Projecting (-)3300p	DG Mossy MOLDEN (+)2323	1.64414824	6.392078719	558.1280563	30.93428109	0.194431874
121	CA1 Perforant Path-Associated (-)3200p	DG Mossy MOLDEN (+)2323	1.786967055	6.073498737	549.8115305	37.21388091	0.199892337
122	CA1 Neurogliaform Projecting (-)3000p	DG Mossy MOLDEN (+)2323	1.426195182	7.551668105	526.7523466	39.91531248	0.204072819
123	CA1 Back-Projection (-)1133p	DG Mossy MOLDEN (+)2323	1.731973319	6.525802067	551.1135274	30.64695711	0.208337317
124	DG Granule (+)2201p	DG Axo-Axonic (-)2233	1.58930527	5.130446879	380.2380559	63.20216278	0.159623933
125	DG Semilunar Granule (+)2311p	DG Axo-Axonic (-)2233	1.722861696	4.954686344	382.8755431	66.97431307	0.17186622
126	DG Mossy (+)0103	DG Axo-Axonic (-)2233	2.068097096	4.065015021	234.8042342	76.01492823	0.205689442
127	DG Hilar Ectopic Granule (+)2203p	DG Axo-Axonic (-)2233	1.615981599	4.407413729	355.4074136	42.46556179	0.169953025
128	DG Mossy MOLDEN (+)2323	DG Axo-Axonic (-)2233	2.044904551	4.054033479	233.3158402	75.68604098	0.205270287
129	CA3c Pyramidal (+)03223p	DG Axo-Axonic (-)2233	1.767944604	4.576618248	293.4882568	33.57674131	0.190073982
130	CA2 Pyramidal (+)2333p	DG Axo-Axonic (-)2233	1.820863858	3.927115812	256.4959869	75.11892427	0.209237026
131	MEC LV Pyramidal (+)331131p	DG Axo-Axonic (-)2233	1.631064215	4.713390785	324.0822301	46.70592333	0.19656207
132	MEC LII Stellate (+)331111p	DG Axo-Axonic (-)2233	1.463541884	4.490819231	285.5781328	54.18080298	0.182637823
133	EC LI-II Pyramidal-Fan (+)331000p	DG Axo-Axonic (-)2233	1.576968103	4.859187184	361.754882	53.19553418	0.182297206
134	EC LII-III Pyramidal-Tripolar (+)333000p	DG Axo-Axonic (-)2233	1.534476111	4.655415169	522.6682611	41.12583094	0.171995114
135	EC LIV-V Pyramidal-Horizontal (+)220233p	DG Axo-Axonic (-)2233	1.628617227	4.711054801	330.3337438	60.36556648	0.190179717
136	DG Basket (-)2232	DG Axo-Axonic (-)2233	1.868477305	5.78494089	424.650686	8.941005694	0.252012918
137	DG Basket CCK+ (-)2232	DG Axo-Axonic (-)2233	1.427888246	7.243794134	695.3628193	15.81592861	0.207843846
138	DG Total Molecular Layer (-)3303	DG Axo-Axonic (-)2233	1.583120987	6.042519921	554.3636363	25.55501031	0.1616151
139	DG MOLAX (-)3302	DG Axo-Axonic (-)2233	1.478332381	6.410849934	550.3620445	25.76267142	0.162389936
140	DG Outer Molecular Layer (-)3222	DG Axo-Axonic (-)2233	1.607770336	6.390195442	544.6724867	21.36681079	0.177472975
141	DG Neurogliaform (-)3000p	DG Axo-Axonic (-)2233	1.356899012	7.313237286	587.7803731	30.56161061	0.165853456
142	DG MOPP (-)3000	DG Axo-Axonic (-)2233	1.291456158	7.431283525	576.1934898	33.15836297	0.163207768
143	DG HICAP (-)2322	DG Axo-Axonic (-)2233	0.91253804	7.57296418	753.0230901	46.817182	0.098399469
144	DG HIPP (-)1002	DG Axo-Axonic (-)2233	1.676923503	7.15666634	623.8380178	23.08339488	0.186063324
145	DG HIPROM (-)1333p	DG Axo-Axonic (-)2233	1.655056104	6.566174282	561.588445	26.96313562	0.180728867
146	DG AIPRIM (-)2333	DG Axo-Axonic (-)2233	1.861275337	6.167866971	472.8082375	25.02186285	0.173093568
147	DG MOCAP (-)0331	DG Axo-Axonic (-)2233	1.719455118	6.204509538	585.0927639	28.75333974	0.180802081
148	CA3 Spiny Lucidum (-)01320p	DG Axo-Axonic (-)2233	1.716825553	7.018411079	603.2755081	21.08660323	0.179320586
149	CA3 Mossy Fiber-Associated ORDEN (-)02332p	DG Axo-Axonic (-)2233	1.818509925	5.739634631	598.7759765	26.27555934	0.192967946
150	CA3 Mossy Fiber-Associated (-)03330p	DG Axo-Axonic (-)2233	2.246579613	5.331239461	572.7741335	57.51272922	0.205263648
151	CA1 LMR Projecting (-)3300p	DG Axo-Axonic (-)2233	1.665769174	6.467825347	558.7998252	24.12985318	0.169718459
152	CA1 Perforant Path-Associated (-)3200p	DG Axo-Axonic (-)2233	1.804264459	6.096723816	543.3637893	28.32897784	0.173781558
153	CA1 Neurogliaform Projecting (-)3000p	DG Axo-Axonic (-)2233	1.441016076	7.674528283	519.3004216	30.2194841	0.179161955
154	CA1 Back-Projection (-)1133p	DG Axo-Axonic (-)2233	1.675570759	6.937055473	620.6860064	22.27865123	0.177230874
155	CA3 Interneuron Specific Quad (-)03333p	DG Axo-Axonic (-)2233	1.796014196	6.208809692	572.0887464	23.71694127	0.184869997
156	DG Granule (+)2201p	DG Basket (-)2232	1.457495181	3.566153577	151.2652578	62.27805375	0.196866987
157	DG Semilunar Granule (+)2311p	DG Basket (-)2232	1.685882062	4.187713787	207.1757042	54.20813561	0.207841553
158	DG Mossy (+)0103	DG Basket (-)2232	1.995595549	3.395481676	117.3653589	69.31635444	0.254508981
159	DG Hilar Ectopic Granule (+)2203p	DG Basket (-)2232	1.598688814	3.745271141	175.5087369	36.31030493	0.207723696
160	DG Mossy MOLDEN (+)2323	DG Basket (-)2232	1.986619965	3.378865143	117.2093369	69.28744642	0.254685844
161	CA3c Pyramidal (+)03223p	DG Basket (-)2232	1.693531969	3.983179951	152.8282192	27.66041651	0.214018592
162	CA2 Pyramidal (+)2333p	DG Basket (-)2232	1.798688967	3.217652534	133.7249235	69.02568803	0.242336581
163	MEC LV Pyramidal (+)331131p	DG Basket (-)2232	1.62732701	3.941402905	159.1531647	37.15429587	0.235386721
164	MEC LII Stellate (+)331111p	DG Basket (-)2232	1.405758038	3.84947857	144.4151725	48.20006034	0.213713686
165	EC LI-II Pyramidal-Fan (+)331000p	DG Basket (-)2232	1.54921889	4.113231844	174.8140797	42.66462464	0.219845341
166	EC LII-III Pyramidal-Tripolar (+)333000p	DG Basket (-)2232	1.480438151	4.044857971	254.3019219	34.45459905	0.207559895
167	EC LIV-V Pyramidal-Horizontal (+)220233p	DG Basket (-)2232	1.589729641	3.917313633	160.0040092	48.94810657	0.228801195
168	DG Basket (-)2232	DG Basket (-)2232	1.981409966	4.648072617	195.536072	7.44050779	0.309539318
169	DG Basket CCK+ (-)2232	DG Basket (-)2232	1.570787778	6.292733699	488.7789045	11.45264621	0.245051562
170	DG Total Molecular Layer (-)3303	DG Basket (-)2232	1.588094345	5.202957219	326.1490797	16.8255612	0.193347834
171	DG MOLAX (-)3302	DG Basket (-)2232	1.529504187	5.486519163	327.8333156	16.55016585	0.199841294
172	DG Outer Molecular Layer (-)3222	DG Basket (-)2232	1.641433268	5.453122725	316.0507591	14.0572289	0.214024781
173	DG Neurogliaform (-)3000p	DG Basket (-)2232	1.446349024	6.184339226	373.3736749	18.87906792	0.204837368
174	DG MOPP (-)3000	DG Basket (-)2232	1.390568768	6.264457483	365.1530417	20.00183288	0.202932113
175	DG HICAP (-)2322	DG Basket (-)2232	0.958293012	6.620283231	513.5087064	32.55595992	0.118669218
176	DG HIPP (-)1002	DG Basket (-)2232	1.709173331	5.981558444	367.1975535	15.29200363	0.220931523
177	DG HIPROM (-)1333p	DG Basket (-)2232	1.643691254	5.620499361	318.0502735	17.63109663	0.213793723
178	DG AIPRIM (-)2333	DG Basket (-)2232	1.754693211	5.506250176	267.0048871	16.65122939	0.199772405
179	DG MOCAP (-)0331	DG Basket (-)2232	1.700255049	5.365439387	355.1405587	18.56577734	0.215132243
180	CA3 Spiny Lucidum (-)01320p	DG Basket (-)2232	1.729505223	5.963837555	374.0143149	13.79957443	0.217211221
181	CA3 Mossy Fiber-Associated ORDEN (-)02332p	DG Basket (-)2232	1.775774527	5.063191735	341.4285394	18.6372486	0.224781554
182	CA3 Mossy Fiber-Associated (-)03330p	DG Basket (-)2232	2.130529475	4.768244141	407.5473363	34.13914316	0.231156389
183	CA1 LMR Projecting (-)3300p	DG Basket (-)2232	1.681055896	5.541382502	345.158367	15.52122199	0.206037693
184	CA1 Perforant Path-Associated (-)3200p	DG Basket (-)2232	1.793164679	5.304684772	335.9107234	17.38902089	0.209246565
185	CA1 Neurogliaform Projecting (-)3000p	DG Basket (-)2232	1.467759253	6.494620706	309.6075914	19.66023719	0.212250304
186	CA1 Back-Projection (-)1133p	DG Basket (-)2232	1.678407805	5.926278359	355.0254931	15.44122078	0.210652261
187	CA3 Interneuron Specific Quad (-)03333p	DG Basket (-)2232	1.761826782	5.412463787	332.3120634	16.10003388	0.217784028
188	DG Granule (+)2201p	DG Basket CCK+ (-)2232	1.596171304	4.099285316	500.5378384	45.85426413	0.195845379
189	DG Hilar Ectopic Granule (+)2203p	DG Basket CCK+ (-)2232	1.326732685	4.490245775	419.6723954	38.69230956	0.170295359
190	CA2 Pyramidal (+)2333p	DG Basket CCK+ (-)2232	1.503001316	3.895537211	323.7765802	64.84470626	0.20611443
191	DG Semilunar Granule (+)2311p	DG Basket CCK+ (-)2232	1.466137007	5.033899938	434.1402751	58.83836218	0.175090905
192	DG Mossy (+)0103	DG Basket CCK+ (-)2232	1.544328401	4.504103823	279.1407549	63.78934339	0.219156366
193	DG Mossy MOLDEN (+)2323	DG Basket CCK+ (-)2232	1.529247847	4.478062626	279.0931665	63.45941078	0.218791644
194	CA3c Pyramidal (+)03223p	DG Basket CCK+ (-)2232	1.323410034	5.038478688	372.5366816	33.32759043	0.181431442
195	MEC LV Pyramidal (+)331131p	DG Basket CCK+ (-)2232	1.331921584	4.780023433	418.1524242	38.008149	0.204940124
196	MEC LII Stellate (+)331111p	DG Basket CCK+ (-)2232	1.203566354	4.548332535	398.9853785	43.72393768	0.189213122
197	EC LI-II Pyramidal-Fan (+)331000p	DG Basket CCK+ (-)2232	1.305814878	4.858886897	468.06911	41.7897314	0.194539321
198	EC LII-III Pyramidal-Tripolar (+)333000p	DG Basket CCK+ (-)2232	1.250671203	4.645831139	607.5267258	33.2887175	0.184128612
199	EC LIV-V Pyramidal-Horizontal (+)220233p	DG Basket CCK+ (-)2232	1.339325227	4.642311796	434.0355833	45.03014638	0.202143836
200	DG Basket (-)2232	DG Basket CCK+ (-)2232	1.55036801	6.463885991	514.9536093	8.531364444	0.265266488
201	DG Basket CCK+ (-)2232	DG Basket CCK+ (-)2232	1.14109394	7.579118517	680.14242	14.24748768	0.197308499
202	DG Total Molecular Layer (-)3303	DG Basket CCK+ (-)2232	1.26102782	6.382982643	611.459148	25.75500366	0.159964053
203	DG MOLAX (-)3302	DG Basket CCK+ (-)2232	1.088901713	6.888640217	602.6725972	26.68822797	0.147217257
204	DG Outer Molecular Layer (-)3222	DG Basket CCK+ (-)2232	1.233456026	6.875990049	599.6751156	21.96222585	0.173292663
205	DG Neurogliaform (-)3000p	DG Basket CCK+ (-)2232	0.884911299	7.961796625	606.9510805	36.97098873	0.138030366
206	DG MOPP (-)3000	DG Basket CCK+ (-)2232	0.837235577	8.098110096	597.8605771	40.54586065	0.133704386
207	DG HICAP (-)2322	DG Basket CCK+ (-)2232	0.658531882	8.076061559	733.371928	50.3040953	0.08677672
208	DG HIPP (-)1002	DG Basket CCK+ (-)2232	1.261075602	7.456746441	616.7575105	24.40553705	0.18092102
209	DG HIPROM (-)1333p	DG Basket CCK+ (-)2232	1.350271982	6.992200545	619.5336596	27.7827273	0.18903007
210	DG AIPRIM (-)2333	DG Basket CCK+ (-)2232	1.510599216	6.602094658	540.9424978	25.8198867	0.179976258
211	DG MOCAP (-)0331	DG Basket CCK+ (-)2232	1.350750608	6.592162303	604.0582651	26.99536598	0.180081518
212	CA3 Spiny Lucidum (-)01320p	DG Basket CCK+ (-)2232	1.349531415	7.163569206	608.1520868	21.69919288	0.18103558
213	CA3 Mossy Fiber-Associated ORDEN (-)02332p	DG Basket CCK+ (-)2232	1.445180094	6.144192157	619.3615401	25.52048752	0.193367228
